State,Date,Value
Alabama,1/1/2012,216458386
Alabama,2/1/2012,200800671
Alabama,3/1/2012,203625542
Alabama,4/1/2012,222053125
Alabama,5/1/2012,216009511
Alabama,6/1/2012,226094663
Alabama,7/1/2012,220438210
Alabama,8/1/2012,223231494
Alabama,9/1/2012,225660759
Alabama,10/1/2012,198916245
Alabama,11/1/2012,200320718
Alabama,12/1/2012,223425930
Alabama,1/1/2013,210561473
Alabama,2/1/2013,199747812
Alabama,3/1/2013,192610653
Alabama,4/1/2013,219963182
Alabama,5/1/2013,216102709
Alabama,6/1/2013,227387578
Alabama,7/1/2013,216480885
Alabama,8/1/2013,226466652
Alabama,9/1/2013,226647444
Alabama,10/1/2013,209221239
Alabama,11/1/2013,219447950
Alabama,12/1/2013,206429459
Alabama,1/1/2014,210057936
Alabama,2/1/2014,201149422
Alabama,3/1/2014,192148377
Alabama,4/1/2014,217934404
Alabama,5/1/2014,218630825
Alabama,6/1/2014,228440716
Alabama,7/1/2014,218802000
Alabama,8/1/2014,232087376
Alabama,9/1/2014,224816390
Alabama,10/1/2014,213651452
Alabama,11/1/2014,230040196
Alabama,12/1/2014,203990558
Alabama,1/1/2015,220312563
Alabama,2/1/2015,212674964
Alabama,3/1/2015,198683901
Alabama,4/1/2015,223757563
Alabama,5/1/2015,226028971
Alabama,6/1/2015,232883489
Alabama,7/1/2015,231597752
Alabama,8/1/2015,241571195
Alabama,9/1/2015,241472070
Alabama,10/1/2015,218677593
Alabama,11/1/2015,231411596
Alabama,12/1/2015,214549434
Alabama,1/1/2016,226551637
Alabama,2/1/2016,215690281
Alabama,3/1/2016,216481449
Alabama,4/1/2016,238804891
Alabama,5/1/2016,232439451
Alabama,6/1/2016,240617254
Alabama,7/1/2016,237571039
Alabama,8/1/2016,243923944
Alabama,9/1/2016,244198137
Alabama,10/1/2016,232459919
Alabama,11/1/2016,211358253
Alabama,12/1/2016,226595442
Alabama,1/1/2017,225701390
Alabama,2/1/2017,210467740
Alabama,3/1/2017,206548803
Alabama,4/1/2017,242694476
Alabama,5/1/2017,234179950
Alabama,6/1/2017,245408908
Alabama,7/1/2017,236621329
Alabama,8/1/2017,243817610
Alabama,9/1/2017,248340623
Alabama,10/1/2017,225872233
Alabama,11/1/2017,237846491
Alabama,12/1/2017,225754973
Alabama,1/1/2018,223667755
Alabama,2/1/2018,207992724
Alabama,3/1/2018,204666532
Alabama,4/1/2018,239978738
Alabama,5/1/2018,234670115
Alabama,6/1/2018,247508747
Alabama,7/1/2018,237331193
Alaska,1/1/2012,22350342
Alaska,2/1/2012,20651802
Alaska,3/1/2012,23341174
Alaska,4/1/2012,21321764
Alaska,5/1/2012,24256161
Alaska,6/1/2012,28160760
Alaska,7/1/2012,28061965
Alaska,8/1/2012,28644530
Alaska,9/1/2012,24696441
Alaska,10/1/2012,23819577
Alaska,11/1/2012,22578844
Alaska,12/1/2012,22868728
Alaska,1/1/2013,20814622
Alaska,2/1/2013,20334149
Alaska,3/1/2013,22940801
Alaska,4/1/2013,22466573
Alaska,5/1/2013,24943499
Alaska,6/1/2013,26634277
Alaska,7/1/2013,29960353
Alaska,8/1/2013,26542741
Alaska,9/1/2013,18958475
Alaska,10/1/2013,23119526
Alaska,11/1/2013,21803033
Alaska,12/1/2013,21435124
Alaska,1/1/2014,20518234
Alaska,2/1/2014,20146951
Alaska,3/1/2014,22204000
Alaska,4/1/2014,21912963
Alaska,5/1/2014,25514050
Alaska,6/1/2014,26157056
Alaska,7/1/2014,29462661
Alaska,8/1/2014,28238524
Alaska,9/1/2014,24954766
Alaska,10/1/2014,23721481
Alaska,11/1/2014,20433321
Alaska,12/1/2014,21334133
Alaska,1/1/2015,21547349
Alaska,2/1/2015,20364604
Alaska,3/1/2015,22545552
Alaska,4/1/2015,21899890
Alaska,5/1/2015,26136468
Alaska,6/1/2015,27493257
Alaska,7/1/2015,29731719
Alaska,8/1/2015,28632254
Alaska,9/1/2015,25880687
Alaska,10/1/2015,24185840
Alaska,11/1/2015,21563867
Alaska,12/1/2015,22309426
Alaska,1/1/2016,20960609
Alaska,2/1/2016,21010820
Alaska,3/1/2016,23079073
Alaska,4/1/2016,22918001
Alaska,5/1/2016,25799019
Alaska,6/1/2016,28137611
Alaska,7/1/2016,30056053
Alaska,8/1/2016,29324902
Alaska,9/1/2016,26563942
Alaska,10/1/2016,24124277
Alaska,11/1/2016,21430448
Alaska,12/1/2016,23535286
Alaska,1/1/2017,21694768
Alaska,2/1/2017,20250267
Alaska,3/1/2017,24097475
Alaska,4/1/2017,21766093
Alaska,5/1/2017,25490789
Alaska,6/1/2017,27120424
Alaska,7/1/2017,29295131
Alaska,8/1/2017,29823425
Alaska,9/1/2017,25276196
Alaska,10/1/2017,23270222
Alaska,11/1/2017,21395669
Alaska,12/1/2017,21154037
Alaska,1/1/2018,21075493
Alaska,2/1/2018,20117171
Alaska,3/1/2018,22652716
Alaska,4/1/2018,21665262
Alaska,5/1/2018,25186545
Alaska,6/1/2018,26985615
Alaska,7/1/2018,28896051
Arizona,1/1/2012,217135816
Arizona,2/1/2012,214476173
Arizona,3/1/2012,232306144
Arizona,4/1/2012,217784156
Arizona,5/1/2012,222596481
Arizona,6/1/2012,215399606
Arizona,7/1/2012,214271613
Arizona,8/1/2012,226363553
Arizona,9/1/2012,204349993
Arizona,10/1/2012,219381869
Arizona,11/1/2012,213310482
Arizona,12/1/2012,219601785
Arizona,1/1/2013,215038634
Arizona,2/1/2013,203788155
Arizona,3/1/2013,234610391
Arizona,4/1/2013,225743990
Arizona,5/1/2013,231836817
Arizona,6/1/2013,211428685
Arizona,7/1/2013,225622419
Arizona,8/1/2013,225669714
Arizona,9/1/2013,213103619
Arizona,10/1/2013,222957844
Arizona,11/1/2013,212478969
Arizona,12/1/2013,223842967
Arizona,1/1/2014,215786815
